Query;Label
Did the number of charging points in berlin increased by more than 10 % from 2020 to 2021?;1
Was the new charging points in Hessen from 2018 to 2021 higher than 200?;1
Did hamburg have increased number of charging stations for more than 500 from May 2020 to June 2021?;1
Are number of chargingpoints of Munich higher than 1500 now?;1
Do Berlin have more than 800 locations last month?;1
Do Freiburg have more chargepoints than Hamburg?;1
Is Brandenburg with more chargingpoints than Sachsen?;1
Was chargingpoints_per_1000_cars of Berlin over 100? ;1
Was the locations in Hannover increased by 5% last year?;1
Did the increase of chargers in Hamburg in 2021 larger than 2020?;1
Is the increased percentage_of_target in Germany in 2019 more than 1%?;1
Do number of chargepoint in Bayern less than that of Badenwüttemburg?;1
Berlin is the county with highest number of chargingpoints?;1
Does Bayern have the highest number of fast chargingpoints among all states in germany?;1
Is it true that Hamburg has more chargers than Berlin?;1
Will Hamburg have more chargingpoints than Berlin in 2 months?;1
Will the increase of chargingpoints in Rheinland-Pfalz more than in Schleswig-Holstein next month?;1
Are the sum of locations in Hamburg and Dresden larger than it in Berlin and Munich?;1
Is number of fast chargingpoints in Berlin higher than normal chargingpoints?;1
Did the number of charging points in berlin increased by more than 10 % from 2020 to 2021?;1
Was the new charging points in Hessen from 2018 to 2021 higher than 200?;1
Did hamburg have increased number of charging stations for more than 500 from May 2020 to June 2021?;1
Are number of chargingpoints of Munich higher than 1500 now?;1
Do Berlin have more than 800 locations last month?;1
Do Freiburg have more chargepoints than Hamburg?;1
Is Brandenburg with more chargingpoints than Sachsen?;1
Was chargingpoints_per_1000_cars of Berlin over 100? ;1
Was the locations in Hannover increased by 5% last year?;1
Did the increase of chargers in Hamburg in 2021 larger than 2020?;1
Is the increased percentage_of_target in Germany in 2019 more than 1%?;1
Do number of chargepoint in Bayern less than that of Badenwüttemburg?;1
Is Berlin the county with highest number of chargingpoints last month?;1
Does Saarland have the highest number of fast chargingpoints among all states?;1
Is it true that Hamburg has more charging locations than Berlin?;1
Will Hamburg have more chargingpoints than Berlin in 2 months?;1
Will the increase of chargingpoints in Rheinland-Pfalz next month more than in Schleswig-Holstein?;1
Are the number of locations in Hamburg and Dresden larger than it in Berlin and Munich?;1
Is number of fast chargingpoints in Berlin higher than normal chargingpoints?;1
Will Hamburg have more chargingstations in the future than Berlin?;1
Was Bayern the state with the most charging stations now?;1
Is Berlin going to have more than 10000 charging stations in 2 years?;1
Do Berlin have more increased number of chargers than Sachsen?;1
Does Dresden have more charging stations than Leipzig at end of 2021?;1
Was the new number of locations in Berlin last year better than 1000?;1
Does the difference of chargers in Niedersachsen and sachsen larger than 1000?;1
Is Munich the top1 county regarding num of charging points?;1
Did Bayern have more new charging stations than any other state last year?;1
Did Hessen have more increased fast chargers than slow ones last year?;1
Which provider is currently the strongest in hesse?;0
What is the largest operatorsof charging stations in Germany? ;0
Inside Niedersachsen, which operator operates the most charging stations?;0
Give me the provider with largest number of charging stations in Berlin. ;0
what is the name of the strongest charging station operator in Hamburg?;0
which operator has the least number of chargers in Berlin?;0
show the weakest operator in the market in Germany.;0
How does the ownership structure of the charging points Look like?;0
what kind of operators are there in Sachsen?;0
the operator distribution in Berlin.;0
which operator has the most fast charging stations in Germany?;0
tell me the operator that provides the highest number of fast charging stations in Germany;0
the provider that provides the most number of fast chargingstations in Hamburg;0
what is the biggest operators in Berlin?;0
which provider has the biggest market share throughout Germany?;0
In Brandenburg, which operator operates the most?;0
what is the operator name which has the largest market share?;0
Which operator dominates in Saarland?;0
Return the name of operator that provides the most chargestations?;0
I want to know the strongest operator in Bremen.;0
What providers are there in the market in Germany?;0
I live in Munich, could you tell me the top 1 provide here;0
How does the charging station market look like in Thüringer?;0
Give a list of operators in Niedersachsen.;0
Which providers are in Dresden?;0
Some top providers which dominate the charging station market in Hamburg.;0
The no1 provider in Germany;0
all the operators in Dresden.;0
What's the largest number of locations of a county in Thüringen in beginning of 2021?;0
The highest number of station of a county in May 2021;0
the county that has the most locations at end of 2020.;0
Give me the least number of chargingpoints_per_1000_carsof a county in May 2021;0
In Sept 2021, give me the state which has minimum number of chargingstations.;0
The federal state with the maximum number of chargingstations in 2017.08.;0
the state that has the largest Cars_per_charging_point last month.;0
the state that has the least Charging_points in June 2020.;0
Until last month, what's the highest Chargepoints per cars among all federal states?;0
return the state that had minimum number of Charging_points per car in Jul 2018.;0
Which state has the largest Chargepoints/cars now?;0
Which federal state has the lowest cars per chargingpoint?;0
Return the state which has the highest percentage_of_target now.;0
Which county had the highest increase of charging points in the last year? ;0
Give a desc order of number of chargingpoints of federal state in June 2021.;0
Give a ascending order of number of charging_points in each federal state in January 2021.;0
Give number of cars/chargepoints in each federal state in twelfth month 2021 by descending order.;0
tell me number of Charging point of all states now.;0
please return charging_stations group by state.;0
